Pollution Level (Air Quality Index values),city,country,population
10,Coburg,Germany,61054.0
11.7,Essen,Germany,1742135.0
11.5,Dresden,Germany,617515.0
0,Tokoroa,New Zealand,13350.0
10.1,Norwich,United Kingdom,190756.0
12.2,Antofagasta,Chile,309832.0
0,Tocopilla,Chile,24460.0
12.3,Mannheim,Germany,2362000.0
11.5,Mainz,Germany,184997.0
9.2,Erfurt,Germany,203254.0
0,Ciudad del Carmen,Mexico,156195.0
10.8,Bournemouth,United Kingdom,426945.0
10.9,Cambridge,United Kingdom,128488.0
12.1,Mons,Belgium,91277.0
0,Camrose,Canada,15808.0
0,Cirebon,Indonesia,254298.0
10.8,Valladolid,Spain,322304.0
11,Lucerne,Switzerland,250000.0
0,Genhe,China,42849.0
9.4,Nancy,France,268976.0
12.2,Miyazaki,Japan,324384.0
0,Sterlitamak,Russia,267231.0
10.6,Port Elizabeth,South Africa,1021000.0
0,Rafaela,Argentina,88713.0
11.3,Eisenstadt,Austria,13165.0
0,Stettler,Canada,5494.0
8.2,Saskatoon,Canada,198958.0
10.6,Ulm,Germany,172955.0
13.1,Bathurst,Australia,6111.0
9.3,Cruzeiro do Sul,Brazil,56862.0
0,Manaus,Brazil,1753000.0
6.4,London,Canada,346765.0
0,Guangming,China,116611.0
0,Bordeaux,France,803000.0
10.6,Munich,Germany,1275000.0
13.8,Saga,Japan,0.0
12.3,Utsunomiya,Japan,667752.0
10.7,Amsterdam,Netherlands,1031000.0
12.1,Croydon,United Kingdom,0.0
11.6,Northampton,United Kingdom,0.0
10.8,Ingolstadt,Germany,163325.0
13.2,Okayama,Japan,866092.0
0,Magnitogorsk,Russia,413351.0
12.4,George,South Africa,174582.0
0,Sevilla,Spain,1212045.0
8,Hinton,Canada,10265.0
0,Viborg,Denmark,34831.0
9.5,Annecy,France,105749.0
0,Tarbes,France,54854.0
10.7,Marseille,France,1400000.0
11.7,Stuttgart,Germany,2944700.0
11.8,Rostock,Germany,203080.0
11.6,Leipzig,Germany,542529.0
0,Vibo Valentia,Italy,33957.0
11.8,Nagasaki,Japan,435455.0
11.3,Wakayama,Japan,440006.0
0,Algeciras,Spain,111027.0
10.8,Hamburg,Germany,1757000.0
13.1,Fukuoka,Japan,2792000.0
10.1,Oviedo,Spain,235651.0
11,Yilan,Taiwan,150000.0
9.9,Altay,China,142000.0
10.1,Grenoble,France,388574.0
10,Nantes,France,438537.0
10.7,Augsburg,Germany,358989.0
11.4,Bremerhaven,Germany,137751.0
9.8,Wiesbaden,Germany,617126.0
11.5,Wuppertal,Germany,776525.0
10.8,Chemnitz,Germany,302643.0
11.9,Hiroshima,Japan,2045000.0
